#TAG,NAME IN REPO (or git url)
p,alacritty
p,base
p,base-devel
p,bat
p,blueman
p,bluez
p,bluez-utils
p,brightnessctl
p,btrfs-progs
p,cbatticon
p,discord
p,efibootmgr
p,exa
p,feh
a,librewolf-bin
p,github-cli
p,gnome-keyring
p,htop
p,jdk-openjdk
p,jre-openjdk
p,lightdm-gtk-greeter
p,lsd
p,mesa
p,nano
p,neofetch
p,neovim
p,pacman-contrib
p,pavucontrol
p,picom
p,pulseaudio-bluetooth
p,python-pip
p,qtile
p,rofi
p,scrot
p,thunar
p,unrar
p,unzip
p,vlc
p,xclip
p,zsh
p,zsh-autosuggestions
p,zsh-syntax-highlighting
a,spotify
p,man
p,fzf
p,xclip
p,xdotools
p,xorg-server
p,xorg-xinit
p,xorg-xmodmap
a,visual-studio-code-bin
p,npm
a,jdtls
p,ripgrep
p,maven
p,ttf-ubuntu-mono-nerd
p,ttf-jetbrains-mono-nerd
p,ttf-hack-nerd
p,ranger
i,psutil
p,python-requests
p,lm_sensors
p,gparted
p,ntfs-3g
p,zathura
p,zathura-pdf-poppler
p,zathura-ps
p,zathura-djvu
p,jq
p,rustup
p,tmux
p,firefox
p,noto-fonts-cjk
p,noto-fonts-emoji
a,ttf-symbola
a,ttf-twemoji
p,btop
a,qtile-extras
p,python-dbus-next
a,discord
p,obsidian
p,pacman-contrib
p,pamixer
